Username,Tweet,Follower
driano84,58,15
drusilla70,1,206
dxmariella,1,859
ecoallestimenti,1,655
ecocloe,1,504
Ecosofista,1,1145
Ecozema_IT,1,752
EdizioniOggi,1,933
edoardofaiella,4,201
EdoardOrsi,1,21
EEnricoielasi,2,648
EffeF61,2,650
eleitaliana,1,1479
Elena07617349,4,10611
ElenDuk,1,1314
ElioPD,1,105
elisbro,1,5
ellellevercillo,3,503
EmmanuelTropee,1,415
emmazanni,1,314
EnrichettaNegri,1,1964
enzo_enzofelix,11,29
EPolice15,1,115
Erix_Genovese,1,118
ernestobruno6,1,55
eryka_bo,3,2734
ESlucegas,1,2199
estensecom,1,6617
eur_83,1,88
Europol,2,32088
extraterra62,1,21
f_ottaviani,1,23
fabio_calcioli,4,162
fabio70AR,1,3314
fabiofrancese3,1,0
fabioseragusa,1,92
fabiozpp,1,171
FabrizioRira,1,922
faellanta,1,19
FaenzaWebTv,2,1104
FalcionelliFede,8,1192
Faraone2016,1,1384
FarmaciaGreen,1,203
FedeAngeli,1,7475
FedeRacing88,1,224
federalberghi,1,6339
FederalberghiRM,1,1582
FederalbergVCO,1,448
FederBio,1,5677
federicamassa3,1,166
FedericoZurzolo,1,814
Federmanager,1,1794
fedquattrocchi,1,2241
felicecilfone,1,145
FeliciLory,7,159
Ferdinando89,4,344
FettucciaS,4,3
fiabeschienrico,1,57
fichera_d,1,9
filippobassato,1,81
Filippopompei,1,998
filmassari1,1,231
filotesa,1,498
fio65,1,71
FlaviaCorda,3,2391
fmbreakfast,1,553
Fmela24,1,49
FNhuis,1,76
fondieuropei20,1,5083
FonteComune,1,375
forte_l,1,9
FraAndreozzi,2,26
frafra61_rossi,1,2173
frafree86,1,125
frailmari,1,2066
Franc__es,41,35
Frances29571990,1,5
FRANCESC0PAGANO,3,272
FrancescoNeva,1,45
FrancoTrax,1,3549
francy1973tosi,1,58
FrancyDicorato,2,197
FrancyG9,1,78
FranFerrante,1,7862
FrankZanata,2,168
frax76_,1,9
Freedomanagemnt,8,1065
frulrobyn,3,871
gabbo10000,1,64
GabriPrudente,1,196
GalvaniM,1,2254
gambettino,1,823
GarauSilvana,1,388
GargaDani,1,35
GarnellSailing,1,49
gattasorniona,1,594
gazambelli,1,255
GazzaNet_it,1,773
GazzdelCalatino,1,790
GazzettaMeridio,1,1770
gbsxf4,1,71
GDF,48,9237
Gennaro_DSM,52,201
gera_nicoletti,1,8
GFPanetta,1,6
gi11es,1,606
gia161170,1,220
GiadaCanduzzi,2,1651
GiadaSanctis,1,74
giambarombi,1,617
Giampie71871776,1,0
GianassiFede,1,677
Gianluca_73,15,185
GianLucaArtizzu,1,3491
gianlucaeroico,13,35
giannimacheda,1,1042
gianpaolobiban,26,0
GiaSilvestrini,1,4644
gicvd,1,3453
Gigebi,1,870
gigidaco,1,24
gigliointi,1,3378
giobettarini,1,1980
GioelePaglia,1,2650
giordanomixxi,1,11
GIORGIO141068,1,1511
GiorgioFaraon00,1,58
giorgiopoggi81,1,33
giornaleprociv,1,9283
GioRomanoTgrRai,1,418
giovannifusari,1,47
giuliaturr,1,202
GIUSEPP80600779,1,993
giusepp90404326,1,0
GiuseppeCanzane,1,67
GiuseppeCrisaf1,1,73
GiuseppeCru7,1,2
GiuseppeCult,1,76
GiuseppeMiro,3,180
GiuseppeR37,3,68
giuspaterniti,6,4715
GnnFnt,3,8
gooblin73_83196,2,633
gortombina,1,212
GovindaAghori,1,416
gp_fiore,1,67
gpellarin84,1,216
GramignaStrega,3,73
grantomm,1,13
greeningmktIT,1,186
grimaldeschi,1,14
grinaldi8,1,10
GrissBicocca,1,1018
Gruppo8Marzo,1,113
GruppoCdp,1,1889
GSchembri,1,272
gsoricaro,1,81
gtkd85,1,140
Guerradtw,1,127
guzmanjazmlne,1,20
Hades_0711,1,19
HannesMerutti,1,333
HCoastGuard,2,6994
HelmysWlfey,1,24
HIGHprecision,1,4055
hotvideotweets,1,3619
HR_italian,1,63
HSimonetta,1,2010
i_Charge,1,254
IdoneiGdF2012,46,439
IEUREPORTER,3,128
il_brigante07,1,456
il_visitatore,1,268
ilariasotis,1,755
ilario1900,1,764
ILBUONPASTORE,1,186
ildicece,1,43
Ilenia1970,1,3128
ilgattonaccio,3,91
ilGazzettinoves,1,1098
ilgiornaledicas,2,129
IlMattinoFoggia,2,5074
ilmessaggeroit,2,285120
ilmetropolitan,2,3804
IlMondoDiAllie,1,46
ilnesi,2,1148
ilpaesenuovo,2,2551
ilSiberiano_,1,904
ilvaglio1,1,368
ilzaga,2,147
iMagazineTwit,3,840
IMorassi,1,225
IMPERIATV,5,791
infinitorenato,1,1046
infoa360,9,26
InfoGiordy,1,96
InterpolHELPus,1,0
Ipsoa,8,7938
IPZS,1,756
irenellas,1,321
IsabeiaaFeh,1,30
isabelladichio,5,2129
italiaxitalia,1,37
ItalyatOECD_ESA,1,394
ItalyinSerbia,1,361
ITANIMULLI7,1,95
ITnewsPZ,1,330
IvanoCongiu,2,74
jacop_etti,1,301
jacopogiliberto,1,4601
janopgenoorth,1,243
JohannesDreijer,1,2485
john1966olsen,1,1625
jromeromorgaz,2,70
juanan_carande,1,285
Jusfincom,1,275
Juventology,1,4556
Katowice71,28,41
kiriosomega,1,3264
kit960,1,1331
kukumalu76,1,106
KylaDawnFarls,1,24
kyosuke009,1,451
L_Antifascista,1,2092
L_Torri,1,85
LaGazzetta_EN,1,1916
LaGazzettaWeb,1,22317
laltraguanciama,1,3682
lamentedmente,1,110
lamescolanza,3,553
lamiadobermann,1,285
LAntieroe,1,1114
lanzigiuseppe,1,5614
lapiazzaweb,1,140
LaRadioNeParla,2,1849
LaSetaro,1,496
lastep440,1,474
lauraboldrini,2,531891
LauraGio_75,1,573
LauraViscusi,1,84
laurenRUTHlnger,1,55
LaurusRobuffo,1,175
LaVoceRC,5,618
Laziotgroma,2,221
lazzarin_andrea,12,296
LClovisse,1,10
leccenews24,4,8740
LelloForlini,1,1090
lentinivince,1,493
LeoGuerini,1,176
leonenemeo,1,116
leprif,1,47
letz73,1,14
LiaStaropoli,2,843
liliana14229842,1,342
LindaRandisi,75,124
LinoMantero,4,140
livecoop,1,191
lixmax72,1,396
Ljuba2000,1,56
lm6sei,1,154
LNeliana,1,5
logos_kosmos,2,69
LongoOlgaMaria,1,14
lorenzo13805,3,2
lorenzosalvia,1,1588
Loupo85,2,3822
luca_podio,1,2428
LucaColucci1,1,1053
LuciaCavaliere1,1,483
LuciaFino,1,264
LucianoLavecchi,1,931
lucianolivieri_,1,1726
luciarizzo64,1,1100
lucillalucio7,1,1447
lufabio_fs,41,107
luidamato,1,323
luigi_viscusi,1,197
Luigi1957Luigi,9,10
LuigiTaurino,3,138
luisaloffredo28,1,6987
lumacapop,1,291
MadagioPepe,1,7642
maelmale,1,2015
Mafara72,3,137
mallardidomeni1,5,17
MammaNunmat64,1,690
ManuPalo67,1,1361
MaraTahnee,1,152
marburdrava,1,3114
MARCANTESAVERIO,5,421
Marcello_Gatto,1,675
marco_gmlavolpe,1,738
marcof53,1,309
marcomont90,32,122
marconipop,1,1060
MarcoPizzi14,1,2012
marcoserventi,1,106
marcotrulla,1,524
MariaCarmosino,1,248
marialves53,1,1111
MariateresaSi,3,119
MariellaAnziano,1,1729
MariellaMaffini,1,371
marinifab,1,899
marino29b,1,1574
marinvolant,1,196
mario_catania,2,1007
mario_schembri,1,37
mariovisco66,1,362
Mariucc17684432,1,27
mark_nm,1,42
markor988,43,423
MarosticaR,1,573
MarraiFrancesco,3,181
martinesdavid75,1,347
massimo_carta,1,163
massimobitonci,1,7409
massimocm1,1,14
massimoisetti,2,180
MassimoQuarta4,1,80
MasterLex_,1,97
MaterBi_it,1,181
matiolo1,1,221
matteo_anesi,1,1410
matteocannito,1,1069
Mauro_Mana,1,75
mauro17673,25,706
Mauro5514,1,564
MauroBarin,1,9713
MauroBat32,1,32
maurocarafa31,2,450
Maurone,1,259
Maury1958,3,258
maurysanche,1,2214
Maxbar65Massimo,1,1474
MaxBlackCats,2,11
mdanz72,1,461
mdbroma,4,652
Mediaweblife,1,119
MEF_GOV,3,18567
Melania52111463,1,74
mele_nando,1,1345
Melogranocs,1,320
meminusyou_,1,438
menelaolemanine,1,788
merryjwsuv118,1,27
MessoreSonia,1,1676
Meta_Magazine,3,1836
metaanto,1,5266
mgmalacrida,1,1645
MGraziaFasc,2,620
Mi_consento,1,172
micaleafacchini,1,617
michelecruscev,1,266
michelesem90,21,113
mikivimo,1,429
miky_ro,2,3710
mikyxy87,2,90
mimich58,1,1698
mimmocoach,3,215
mirenzo61,1,452
MirianoOttavia1,1,59
miridesant,1,70
mlgelm,1,620
mmarchetti69,1,195
mondo_migliore,1,1432
Monica_torino,2,1282
montecarlo50630,1,10
Montecitorio,6,135141
MorensAndrea,1,143
Morgaine1967,1,146
MPrinzis,1,27
MrEfis79,1,2966
MrRossini,1,79
