Username,TweetTot,RT,Tweet,Percentuale,Follower,Totale,Differenza,neutral,positive,negative,Code
arevmine,1,1,0,0.0368,3164,2720,2719,0,0,1,ITA
Arieliaghetto,2,2,0,0.0735,56,2720,2718,2,0,0,ITA
arlettisaverio,1,0,1,0.0368,7,2720,2719,0,1,0,ITA
Arnatak,1,1,0,0.0368,935,2720,2719,1,0,0,ITA
arpaumbria,1,1,0,0.0368,1443,2720,2719,1,0,0,ITA
Ascanio111,1,0,1,0.0368,1765,2720,2719,1,0,0,ITA
Asch_63,1,0,1,0.0368,42,2720,2719,0,0,1,ITA
AssocAReS,1,1,0,0.0368,2176,2720,2719,1,0,0,ITA
atlantide_Chris,1,1,0,0.0368,1329,2720,2719,1,0,0,USA
atrejurm12,14,14,0,0.5147,23,2720,2706,14,0,0,ITA
attilioc39,1,1,0,0.0368,1025,2720,2719,1,0,0,ESP
AUGC_VALENCIA,1,1,0,0.0368,1957,2720,2719,1,0,0,ITA
Augustaonline,1,0,1,0.0368,605,2720,2719,1,0,0,ITA
autoemotodepoca,1,1,0,0.0368,1796,2720,2719,1,0,0,FRA
autribunal,1,1,0,0.0368,529,2720,2719,1,0,0,ITA
avantinoi,1,1,0,0.0368,391,2720,2719,1,0,0,ITA
aviation_report,2,0,2,0.0735,1780,2720,2718,2,0,0,USA
Avramopoulos,1,1,0,0.0368,18381,2720,2719,1,0,0,ITA
AvvMdiBari,4,4,0,0.1471,405,2720,2716,4,0,0,ITA
badiagnano,8,8,0,0.2941,45,2720,2712,8,0,0,USA
bagaf87,1,1,0,0.0368,37,2720,2719,1,0,0,ITA
barbarab1974,2,1,1,0.0735,543,2720,2718,2,0,0,ITA
Barbieri156D,1,1,0,0.0368,1940,2720,2719,0,1,0,ITA
barlettam769,15,14,1,0.5515,30,2720,2705,15,0,0,ITA
baronegiuseppe,1,1,0,0.0368,2104,2720,2719,1,0,0,ITA
BartoliTommy,1,1,0,0.0368,19,2720,2719,1,0,0,ITA
Barzaglier,3,0,3,0.1103,1911,2720,2717,3,0,0,ITA
battaglia_persa,1,1,0,0.0368,403,2720,2719,1,0,0,ITA
battistabd,1,1,0,0.0368,236,2720,2719,0,1,0,USA
BBInsider3,1,1,0,0.0368,13,2720,2719,1,0,0,ITA
bdg_vi,1,1,0,0.0368,322,2720,2719,1,0,0,ITA
Bea___gallo,1,1,0,0.0368,600,2720,2719,1,0,0,ITA
Beailesoloio,1,1,0,0.0368,919,2720,2719,0,1,0,ITA
bealucarella,1,0,1,0.0368,864,2720,2719,0,1,0,USA
beamontini,1,1,0,0.0368,4151,2720,2719,1,0,0,ITA
becare_29,1,1,0,0.0368,1675,2720,2719,1,0,0,ITA
Behemoth80,1,0,1,0.0368,914,2720,2719,0,1,0,ITA
Bejonce77,1,1,0,0.0368,976,2720,2719,1,0,0,ITA
BelindaDi,1,1,0,0.0368,71,2720,2719,1,0,0,ITA
bellocch,1,0,1,0.0368,1431,2720,2719,1,0,0,ITA
Ben82589094,1,0,1,0.0368,0,2720,2719,1,0,0,ITA
BenedettaCasu,62,52,10,22.794,119,2720,2658,62,0,0,ITA
BeniaminoGiust1,1,0,1,0.0368,9,2720,2719,1,0,0,ITA
benny2216,1,1,0,0.0368,89,2720,2719,1,0,0,ITA
beria_giancarla,1,1,0,0.0368,119,2720,2719,1,0,0,ITA
berlinialberto,1,1,0,0.0368,1233,2720,2719,1,0,0,ESP
BerniToledo,1,1,0,0.0368,993,2720,2719,1,0,0,ITA
Bessico2,1,1,0,0.0368,175,2720,2719,0,1,0,ESP
betelgeuse2010,1,1,0,0.0368,53,2720,2719,1,0,0,ESP
bettinagalo,1,1,0,0.0368,3940,2720,2719,1,0,0,ITA
BettoGigliola,2,2,0,0.0735,60,2720,2718,2,0,0,GBR
Bettons93,1,0,1,0.0368,99,2720,2719,1,0,0,ITA
BGrisafi,1,1,0,0.0368,3757,2720,2719,1,0,0,ITA
bighelius,1,1,0,0.0368,372,2720,2719,1,0,0,ITA
Bio4Expo,1,1,0,0.0368,1249,2720,2719,1,0,0,ITA
bio4xp,1,1,0,0.0368,2005,2720,2719,1,0,0,ITA
BiogalFa,15,6,9,0.5515,627,2720,2705,15,0,0,ITA
biomillarte,1,1,0,0.0368,941,2720,2719,1,0,0,ITA
bioqualita_,1,1,0,0.0368,89,2720,2719,1,0,0,USA
blrdmancapps,1,1,0,0.0368,13,2720,2719,1,0,0,ITA
bolartur,1,1,0,0.0368,821,2720,2719,1,0,0,ITA
BPtobia,1,1,0,0.0368,573,2720,2719,0,1,0,ITA
BrindisiReport,2,0,2,0.0735,3272,2720,2718,2,0,0,ITA
brindisitime,2,0,2,0.0735,65,2720,2718,2,0,0,USA
BruceLeeHustl4,1,1,0,0.0368,27,2720,2719,1,0,0,ITA
Brunellaaaa_,1,1,0,0.0368,13,2720,2719,1,0,0,ITA
brunoforesi,1,1,0,0.0368,369,2720,2719,1,0,0,ITA
BuonoClaudio,1,0,1,0.0368,1475,2720,2719,1,0,0,ITA
byzio66,1,1,0,0.0368,832,2720,2719,1,0,0,ITA
c0dd6789363840e,1,0,1,0.0368,3,2720,2719,1,0,0,ITA
caffeineheadx,1,1,0,0.0368,1204,2720,2719,1,0,0,ITA
CaioneMarcello,1,1,0,0.0368,11,2720,2719,1,0,0,ITA
CaleEuropaEdic,2,2,0,0.0735,1460,2720,2718,2,0,0,ITA
caligola1974,1,1,0,0.0368,1340,2720,2719,0,1,0,ITA
camgiaci,1,1,0,0.0368,131,2720,2719,0,1,0,ITA
CampioniGianni,1,1,0,0.0368,17,2720,2719,1,0,0,ITA
canalesicilia,9,0,9,0.3309,233,2720,2711,9,0,0,ITA
carincilaura,1,1,0,0.0368,23,2720,2719,1,0,0,ITA
carla_pantano,1,0,1,0.0368,191,2720,2719,0,1,0,ITA
carlodaverona,1,0,1,0.0368,811,2720,2719,0,1,0,ITA
CarloVeber,1,0,1,0.0368,6,2720,2719,1,0,0,ITA
CarmelaVampo,53,53,0,19.485,57,2720,2667,53,0,0,ITA
Carmelo_M86,1,1,0,0.0368,275,2720,2719,1,0,0,ITA
caronenicola93,1,0,1,0.0368,40,2720,2719,1,0,0,ITA
Casear_Iulius,11,3,8,0.4044,350,2720,2709,11,0,0,ITA
CasilinaNews,1,0,1,0.0368,133,2720,2719,1,0,0,ITA
casolarof,2,2,0,0.0735,4,2720,2718,2,0,0,ITA
Cate0175,1,1,0,0.0368,1453,2720,2719,1,0,0,USA
cayley__C,1,1,0,0.0368,23,2720,2719,1,0,0,ITA
ccarchitetto,1,1,0,0.0368,184,2720,2719,1,0,0,ITA
CefarattiEnric1,1,1,0,0.0368,360,2720,2719,1,0,0,ITA
CelentanoLuisa,1,1,0,0.0368,25,2720,2719,1,0,0,ITA
Cesaremacc,1,1,0,0.0368,157,2720,2719,1,0,0,ITA
cfdp33,1,0,1,0.0368,206,2720,2719,0,1,0,ITA
Cfm_Arpacal,1,1,0,0.0368,376,2720,2719,0,1,0,ITA
Changement71,1,0,1,0.0368,373,2720,2719,1,0,0,ITA
Cheru65,1,0,1,0.0368,1236,2720,2719,1,0,0,ITA
ChiaraDefeo,1,1,0,0.0368,312,2720,2719,1,0,0,ITA
chiaraperte,1,1,0,0.0368,388,2720,2719,1,0,0,USA
chruggeri,1,1,0,0.0368,3479,2720,2719,1,0,0,ITA
CiPintus,1,1,0,0.0368,47,2720,2719,1,0,0,ITA
cisomgenova,3,3,0,0.1103,325,2720,2717,3,0,0,ITA
Cityrumors_it,4,0,4,0.1471,4195,2720,2716,4,0,0,ITA
Ciuina06,1,1,0,0.0368,73,2720,2719,1,0,0,ITA
CLamoglie,1,1,0,0.0368,15,2720,2719,1,0,0,FRA
claudiabilli,1,1,0,0.0368,66,2720,2719,1,0,0,ITA
ClaudiaC111,1,1,0,0.0368,786,2720,2719,1,0,0,USA
claudiomio,1,1,0,0.0368,22,2720,2719,1,0,0,ITA
Claudiowellphon,1,1,0,0.0368,201,2720,2719,0,1,0,ITA
ClemensMarella,1,1,0,0.0368,341,2720,2719,1,0,0,ITA
ClementeScafuro,1,0,1,0.0368,155,2720,2719,1,0,0,ITA
clide72,1,1,0,0.0368,23,2720,2719,1,0,0,ITA
CO_WhiteDwarf,1,1,0,0.0368,67,2720,2719,1,0,0,ITA
coccinellasf69,1,1,0,0.0368,64,2720,2719,1,0,0,ITA
Coccynella500,1,1,0,0.0368,1539,2720,2719,0,1,0,ITA
ColorsSounds,1,0,1,0.0368,435,2720,2719,1,0,0,ITA
ComitatoIdoneiN,1,1,0,0.0368,258,2720,2719,1,0,0,ITA
comunebassano,1,1,0,0.0368,619,2720,2719,1,0,0,ITA
ConnyTobermory,1,1,0,0.0368,578,2720,2719,1,0,0,ITA
ConsLomb,1,0,1,0.0368,7685,2720,2719,1,0,0,ITA
Consulenza_Agr,1,0,1,0.0368,2554,2720,2719,1,0,0,ITA
CordelGiorno,2,2,0,0.0735,456,2720,2718,2,0,0,USA
CormacJOKeeffe,1,1,0,0.0368,1865,2720,2719,1,0,0,USA
cormarch,1,1,0,0.0368,69,2720,2719,1,0,0,ITA
corpoforestale,2,0,2,0.0735,5007,2720,2718,2,0,0,ITA
corrierebergamo,1,0,1,0.0368,3247,2720,2719,1,0,0,ITA
corrierecaserta,2,0,2,0.0735,485,2720,2718,2,0,0,ITA
Cosi49Cosimo,1,1,0,0.0368,1010,2720,2719,0,1,0,ITA
cosimo87_d,4,4,0,0.1471,116,2720,2716,4,0,0,ITA
CreeEdge,1,1,0,0.0368,234,2720,2719,1,0,0,ITA
CretellaRoberta,1,1,0,0.0368,9746,2720,2719,0,1,0,ITA
CriMartinelli16,3,3,0,0.1103,40,2720,2717,3,0,0,ITA
Cristoferbaldet,2,0,2,0.0735,631,2720,2718,2,0,0,ITA
crociangelini,1,1,0,0.0368,1157,2720,2719,1,0,0,ITA
crpiemonte,1,0,1,0.0368,15615,2720,2719,1,0,0,ITA
CryPaolo,1,1,0,0.0368,290,2720,2719,0,1,0,ITA
cschannel_news,1,0,1,0.0368,144,2720,2719,1,0,0,ITA
csibologna,1,1,0,0.0368,462,2720,2719,1,0,0,ITA
CSRManagerNet,1,1,0,0.0368,687,2720,2719,1,0,0,ITA
